id,nb_shop,nb_food,nb_minor_transport,nb_entertainment,nb_supermarket,nb_transport,nb_parking,nb_public_service,checkinsCount_avg,checkinsCount_sum,nb_ArtsEntertainment,nb_CollegeUniversity,nb_Event,nb_Food_fsquare,nb_NightlifeSpot,nb_OutdoorsRecreation,nb_ProfessionalOther,nb_Residence,nb_ShopService,nb_TravelTransport,cluster_labels
9525,0,0,0,0,0,0,1,0,70.46153846153847,3664,2,0,0,8,2,0,0,4,18,4,Residential
9856,2,1,0,1,0,0,0,0,76.94,3847,5,1,0,3,0,0,0,5,3,5,Residential
9639,5,0,0,1,1,0,0,0,66.22641509433963,3510,0,0,0,4,5,0,0,11,8,10,Shopping areas
9095,3,0,1,2,0,0,0,0,819.4705882352941,153241,22,14,0,35,10,0,0,14,11,6,Residential with services
10195,0,2,0,5,0,0,0,0,150.08227848101262,23713,0,4,0,10,6,0,0,24,19,36,Residential with services
9170,0,0,0,0,0,0,0,0,231.6,6948,0,0,0,4,0,0,0,5,12,3,Residential
9381,0,2,0,2,0,0,0,0,148.4310344827586,17218,9,3,0,14,2,0,0,4,25,13,Residential
9707,0,0,0,0,0,0,0,0,55.534246575342465,4054,2,1,0,5,6,0,0,14,19,6,Residential
9827,0,2,0,1,0,0,0,0,129.37037037037038,6986,3,0,0,9,2,0,0,10,5,9,Residential
9577,3,7,0,1,1,0,0,0,1571.2669039145908,441526,23,50,0,35,18,0,0,23,11,50,Cultural & going out places
9717,0,0,0,0,0,0,0,0,78.71428571428571,1102,0,0,0,1,0,0,0,3,0,1,Residential
9678,0,0,0,0,0,0,0,0,412.9135802469136,33446,2,1,0,6,0,0,0,5,2,9,Residential
9839,2,1,0,1,0,0,0,0,129.26744186046508,11117,1,1,0,26,2,0,0,5,33,4,Residential
9087,0,0,0,0,0,0,0,0,241.29310344827587,41985,13,2,0,22,3,0,0,9,50,18,Residential with services
9539,0,1,1,1,0,0,0,0,515.3880597014926,34531,8,1,0,8,3,0,0,12,4,6,Residential
9644,0,0,0,0,0,0,0,0,253.74,12687,6,1,0,5,0,0,0,9,3,13,Residential
10130,0,2,0,0,1,0,0,0,404.0114942528736,35149,13,0,0,12,10,0,0,16,12,6,Shopping areas
9589,1,1,0,0,0,0,0,0,470.26881720430106,43735,6,0,0,13,8,0,0,13,32,2,Residential
9481,0,0,0,5,0,0,0,0,93.20588235294115,9507,3,1,0,11,3,0,0,14,32,6,Residential
9947,0,0,0,0,0,0,0,0,253.71794871794876,9895,1,2,0,14,1,0,0,2,9,6,Residential
10158,1,1,0,0,1,0,1,0,268.7977528089888,23923,1,3,0,21,2,0,0,10,23,14,Shopping areas
9467,0,0,0,3,0,0,0,0,166.97916666666666,16030,4,2,1,14,2,0,0,14,15,13,Residential
9704,2,3,0,7,0,0,1,0,1541.89010989011,420936,44,3,1,27,21,0,0,6,50,50,Residential with services
10168,0,0,0,1,0,0,0,0,269.7684210526316,25628,3,3,0,10,5,0,0,16,20,5,Residential
9659,0,0,0,0,0,0,0,0,79.0253164556962,6243,3,2,0,10,1,0,0,9,17,9,Residential
9843,1,1,0,12,0,0,1,0,425.20491803278685,103750,42,6,2,10,27,0,0,15,45,50,Residential with services
10170,0,0,0,0,0,0,0,0,106.72727272727272,10566,4,3,0,11,11,0,0,29,18,3,Residential
9876,0,0,0,1,0,0,0,0,219.27966101694915,25875,1,3,0,14,6,0,0,8,12,23,Residential
9530,1,1,0,8,0,1,0,0,1296.7717391304348,357909,40,6,1,17,24,0,0,18,50,50,Cultural & going out places
9583,0,0,0,0,0,0,0,0,122.34653465346534,12357,2,2,0,6,7,0,0,6,14,23,Residential
10176,2,3,0,0,0,0,0,0,668.6765799256507,179874,13,49,0,35,20,0,0,12,37,45,Residential with services
9628,1,1,1,6,0,0,0,1,663.4883720930233,85590,10,3,2,14,4,0,0,7,10,22,Residential
9223,0,0,0,0,0,0,0,0,88.20689655172414,2558,4,0,0,3,2,0,0,6,5,4,Residential
9510,1,7,0,0,0,0,0,0,2361.817518248175,647138,41,1,1,40,18,0,0,26,50,50,Cultural & going out places
9227,4,4,0,1,0,0,0,0,140.01315789473685,10641,2,3,0,8,4,0,0,6,13,19,Residential
10018,18,18,0,9,0,0,2,0,1262.2604166666667,363531,38,9,4,37,29,0,0,19,19,50,Cultural & going out places
