id,fixed_acidity,volatile_acidity,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,alcohol,quality
1,9.1,0.27,10.6,28,124,0.997,3.2,10.4,9
2,6.6,0.36,1.6,24,85,0.98965,3.41,12.4,9
3,7.4,0.24,2,27,139,0.99055,3.28,12.5,9
4,6.9,0.36,4.2,57,119,0.9898,3.28,12.7,9
5,7.1,0.26,2.2,31,113,0.9903,3.37,12.9,9
6,6.2,0.66,1.2,29,75,0.9892,3.33,12.8,8
7,6.2,0.66,1.2,29,75,0.9892,3.33,12.8,8
8,6.8,0.26,1.7,41,122,0.993,3.47,10.5,8
9,6.7,0.23,2.1,30,96,0.9926,3.33,10.7,8
10,6.7,0.23,2.1,30,96,0.9926,3.33,10.7,8
11,5.2,0.44,1.4,43,119,0.9894,3.36,12.1,8
12,5.2,0.44,1.4,43,119,0.9894,3.36,12.1,8
13,6.8,0.53,3.8,26,109,0.9906,3.26,12.7,8
14,6.7,0.26,1.1,45,147,0.9935,3.32,9.6,8
15,7,0.24,2.8,22,112,0.99,3.19,12.6,8
16,6.1,0.31,5,36,114,0.9909,3.3,12.3,8
17,5,0.55,8.3,35,164,0.9918,3.53,12.5,8
18,6.4,0.32,4.8,34,101,0.9912,3.36,12.5,8
19,7,0.23,7.1,31,104,0.9922,3.35,12.1,8
20,6.6,0.16,1.4,49,186,0.9906,3.35,12.4,8
21,6,0.25,2.2,54,126,0.9898,3.43,12.9,8
22,5.9,0.27,11.4,31,115,0.9949,3.35,10.5,8
23,6.5,0.36,3.2,29,119,0.9908,3.25,12.4,8
24,6.2,0.24,13.3,49,130,0.9952,3.33,11,8
25,7.1,0.32,14.5,46,150,0.995,3.38,12.5,8
26,6.6,0.33,1.3,29,89,0.99035,3.26,12.4,8
27,8.1,0.17,14.1,43,145,1.0006,3.28,8.8,8
28,8.1,0.17,14.1,43,145,1.0006,3.28,8.8,8
29,6,0.18,1.4,14,75,0.99085,3.34,11.1,8
30,7.3,0.3,2.7,34,108,0.99105,3.36,12.8,8
31,7.5,0.42,4.3,34,108,0.99155,3.14,12.8,8
32,7.3,0.25,2.1,30,177,0.99085,3.25,11.9,8
33,7.3,0.25,2.1,30,177,0.99085,3.25,11.9,8
34,7.3,0.25,2.1,30,177,0.99085,3.25,11.9,8
35,7.3,0.21,1.6,29,118,0.9917,3.3,11,8
36,7.3,0.21,1.6,29,118,0.9917,3.3,11,8
37,8.1,0.27,1.7,38,103,0.99255,3.22,10.4,8
38,7.8,0.18,12.6,41,143,1,3.24,8.5,8
39,6.9,0.12,2.2,18,111,0.9919,3.41,11.9,8
40,6.9,0.21,2.4,49,159,0.9944,3.02,8.8,8
41,7.1,0.25,2.1,30,124,0.9908,3.28,12.2,8
42,7.9,0.28,2,50,152,0.9934,3.45,10.7,8
43,6.8,0.19,7.05,54,188,0.9935,3.25,11.1,8
44,5.2,0.24,3.8,21,128,0.992,3.55,11.2,8
45,7,0.24,1.3,39,123,0.992,3.17,11.2,8
46,6.6,0.16,1.5,48,143,0.9912,3.54,12.4,7
47,6.6,0.17,1.5,28,112,0.9914,3.25,11.4,7
48,6.4,0.31,2.9,19,102,0.9912,3.17,11,7
49,7.2,0.32,2,37,114,0.9906,3.1,12.3,7
50,7.4,0.18,1.4,38,167,0.9931,3.16,10,7
51,6.6,0.25,1.1,39,124,0.9914,3.34,11,7
52,6.2,0.16,1.1,21,82,0.991,3.32,10.9,7
53,6.4,0.26,6.4,27,124,0.9903,3.22,12.6,7
